"Animat","Day","Location x:","Location y:"
"Day: 0"
"Day: 1"
"Day: 2"
"Day: 3"
"Day: 4"
"Day: 5"
"Day: 6"
"Day: 7"
"Day: 8"
"Day: 9"
"Day: 10"
"Day: 11"
"Day: 12"
"Day: 13"
"Day: 14"
"Day: 15"
"Day: 16"
"Day: 17"
"Day: 18"
"Day: 19"
"Day: 20"
"Day: 21"
"Day: 22"
"Day: 23"
"Day: 24"
"Day: 25"
"Day: 26"
"Day: 27"
"Day: 28"
"Day: 29"
"Day: 30"
"Day: 31"
"Day: 32"
"Day: 33"
"95"
"Day: 34"
"95"
"282"
"396"
"Day: 35"
"69"
"95"
"282"
"333"
"396"
"426"
"Day: 36"
"69"
"95"
"110"
"201"
"282"
"333"
"396"
"426"
"Day: 37"
"69"
"86"
"95"
"110"
"201"
"282"
"333"
"396"
"426"
"Day: 38"
"69"
"86"
"95"
"110"
"130"
"201"
"282"
"333"
"360"
"396"
"426"
"434"
"Day: 39"
"69"
"86"
"95"
"110"
"130"
"201"
"206"
"282"
"332"
"333"
"360"
"396"
"426"
"434"
"456"
"Day: 40"
"23"
"69"
"86"
"95"
"110"
"130"
"135"
"158"
"200"
"201"
"206"
"282"
"332"
"333"
"360"
"371"
"374"
"396"
"409"
"426"
"434"
"456"
"Day: 41"
"23"
"69"
"86"
"95"
"110"
"130"
"135"
"158"
"194"
"200"
"201"
"206"
"250"
"263"
"282"
"306"
"331"
"332"
"333"
"360"
"371"
"374"
"393"
"396"
"409"
"426"
"434"
"456"
"497"
"Day: 42"
"23"
"52"
"69"
"86"
"95"
"110"
"130"
"135"
"155"
"158"
"174"
"184"
"194"
"200"
"201"
"206"
"226"
"250"
"263"
"274"
"282"
"301"
"306"
"331"
"332"
"333"
"360"
"371"
"374"
"377"
"393"
"396"
"409"
"426"
"434"
"436"
"445"
"456"
"478"
"497"
"Day: 43"
"23"
"48"
"52"
"69"
"72"
"78"
"86"
"95"
"110"
"130"
"135"
"140"
"155"
"156"
"158"
"174"
"184"
"194"
"200"
"201"
"206"
"226"
"250"
"263"
"274"
"282"
"291"
"301"
"306"
"331"
"332"
"333"
"360"
"371"
"374"
"377"
"393"
"396"
"409"
"426"
"434"
"436"
"441"
"445"
"456"
"478"
"496"
"497"
"Day: 44"
"23"
"33"
"48"
"52"
"56"
"69"
"72"
"78"
"86"
"95"
"98"
"110"
"130"
"135"
"140"
"142"
"155"
"156"
"158"
"174"
"177"
"184"
"194"
"200"
"201"
"206"
"226"
"250"
"263"
"274"
"282"
"285"
"291"
"301"
"306"
"328"
"331"
"332"
"333"
"360"
"369"
"371"
"374"
"377"
"393"
"396"
"409"
"426"
"434"
"436"
"441"
"445"
"456"
"464"
"478"
"496"
"497"
"Day: 45"
"23"
"33"
"37"
"48"
"52"
"56"
"69"
"72"
"75"
"78"
"86"
"95"
"98"
"110"
"130"
"135"
"140"
"142"
"155"
"156"
"158"
"174"
"177"
"184"
"194"
"200"
"201"
"206"
"226"
"250"
"258"
"263"
"274"
"282"
"283"
"285"
"291"
"301"
"306"
"328"
"331"
"332"
"333"
"360"
"369"
"371"
"374"
"377"
"393"
"396"
"409"
"413"
"426"
"434"
"436"
"441"
"445"
"456"
"464"
"478"
"496"
"497"
"500"
"Day: 46"
"23"
"33"
"37"
"48"
"52"
"56"
"69"
"72"
"75"
"78"
"86"
"95"
"98"
"106"
"110"
"130"
"134"
"135"
"140"
"142"
"152"
"155"
"156"
"158"
"174"
"177"
"184"
"194"
"199"
"200"
"201"
"206"
"207"
"215"
"226"
"250"
"258"
"261"
"263"
"274"
"282"
"283"
"285"
"291"
"301"
"306"
"315"
"316"
"328"
"331"
"332"
"333"
"360"
"369"
"371"
"374"
"377"
"393"
"396"
"409"
"413"
"426"
"434"
"436"
"441"
"445"
"453"
"455"
"456"
"464"
"469"
"478"
"496"
"497"
"500"
"Day: 47"
"13"
"23"
"33"
"37"
"48"
"52"
"56"
"69"
"72"
"75"
"78"
"86"
"95"
"98"
"106"
"110"
"130"
"134"
"135"
"140"
"142"
"150"
"152"
"155"
"156"
"158"
"174"
"177"
"184"
"194"
"199"
"200"
"201"
"206"
"207"
"215"
"226"
"238"
"250"
"258"
"261"
"263"
"274"
"282"
"283"
"285"
"291"
"301"
"306"
"315"
"316"
"320"
"328"
"331"
"332"
"333"
"342"
"360"
"369"
"371"
"374"
"377"
"393"
"396"
"409"
"413"
"426"
"434"
"436"
"441"
"445"
"453"
"455"
"456"
"464"
"469"
"475"
"478"
"496"
"497"
"500"
"Day: 48"
"11"
"13"
"23"
"28"
"33"
"37"
"48"
"52"
"56"
"69"
"70"
"72"
"75"
"78"
"86"
"87"
"91"
"95"
"98"
"103"
"104"
"106"
"107"
"110"
"113"
"130"
"134"
"135"
"140"
"142"
"150"
"152"
"155"
"156"
"158"
"174"
"177"
"184"
"194"
"199"
"200"
"201"
"206"
"207"
"208"
"215"
"226"
"238"
"250"
"258"
"261"
"263"
"274"
"282"
"283"
"285"
"291"
"301"
"306"
"310"
"315"
"316"
"320"
"328"
"331"
"332"
"333"
"342"
"360"
"369"
"371"
"372"
"374"
"377"
"393"
"394"
"396"
"409"
"413"
"426"
"434"
"436"
"441"
"445"
"453"
"455"
"456"
"464"
"469"
"475"
"478"
"493"
"496"
"497"
"500"
"Day: 49"
"11"
"13"
"23"
"28"
"33"
"37"
"43"
"48"
"52"
"56"
"69"
"70"
"72"
"75"
"78"
"86"
"87"
"90"
"91"
"95"
"98"
"103"
"104"
"106"
"107"
"110"
"112"
"113"
"130"
"134"
"135"
"137"
"140"
"142"
"150"
"152"
"155"
"156"
"158"
"170"
"174"
"177"
"184"
"192"
"194"
"199"
"200"
"201"
"206"
"207"
"208"
"215"
"226"
"238"
"250"
"258"
"261"
"263"
"274"
"282"
"283"
"285"
"291"
"301"
"304"
"306"
"310"
"315"
"316"
"320"
"327"
"328"
"331"
"332"
"333"
"342"
"348"
"350"
"352"
"360"
"367"
"369"
"371"
"372"
"374"
"377"
"380"
"393"
"394"
"396"
"409"
"411"
"413"
"426"
"434"
"436"
"441"
"445"
"448"
"453"
"455"
"456"
"464"
"469"
"475"
"478"
"486"
"493"
"496"
"497"
"500"
"Day: 50"
"726"
