"Generation","Best Fitness","Worst Fitness","Mean Fitness","Standard Deviation","Best Lifespan","Worst Lifespan","Mean Lifespan","Standard Deviation Lifespan","Died","Reached end"
"0","1.0","1.0","1.0","0.0","99.0","99.0","99.0","0.0","0.0","0.0"
"1","1.0","1.0","1.0","0.0","66.0","66.0","66.0","0.0","0.0","1.0"
"2","1.0","1.0","1.0","0.0","66.0","66.0","66.0","0.0","0.0","1.0"
"3","1.0","0.0","0.708","0.4546823066713725","29.0","1000.0","262.388","323.03173444106085","0.204","0.708"
"4","1.0","0.0","0.356","0.47881520443695186","26.0","1000.0","485.0","316.4126798976299","0.496","0.356"
"5","1.0","0.0","0.344","0.4750410508577127","28.0","1000.0","479.668","318.1837044476036","0.504","0.344"
"6","1.0","0.0","0.332","0.47093099282166595","21.0","1000.0","474.46","313.9876819239888","0.532","0.332"
"7","1.0","0.0","0.312","0.4633098315382483","21.0","1000.0","493.504","319.51194341370086","0.54","0.312"
"8","1.0","0.0","0.304","0.4599826083668816","42.0","1000.0","479.552","319.5422715322653","0.532","0.304"
"9","1.0","0.0","0.348","0.47633601585435464","32.0","1000.0","514.736","333.4161518343105","0.468","0.348"
"10","1.0","0.0","0.288","0.452831094338717","28.0","1000.0","473.1","335.63369616294494","0.564","0.288"
"11","1.0","0.0","0.324","0.46799999999999997","24.0","1000.0","465.936","301.9896486702814","0.552","0.324"
"12","1.0","0.0","0.248","0.43185182644050496","14.0","1000.0","505.28","329.77143842364546","0.552","0.248"
"13","1.0","0.0","0.28","0.44899888641287294","27.0","1000.0","483.224","325.11916249892147","0.58","0.28"
"14","1.0","0.0","0.292","0.4546823066713725","16.0","1000.0","481.732","311.57365128649775","0.556","0.292"
"15","1.0","0.0","0.36","0.48","21.0","1000.0","509.8","323.76278970876166","0.484","0.36"
"16","1.0","0.0","0.36","0.48","16.0","1000.0","517.668","319.0444949783651","0.456","0.36"
"17","1.0","0.0","0.292","0.4546823066713725","24.0","1000.0","507.1","319.2772118394925","0.524","0.292"
"18","1.0","0.0","0.328","0.4694848240358787","37.0","1000.0","470.696","313.2239639363502","0.532","0.328"
"19","1.0","0.0","0.264","0.44079927404658914","20.0","1000.0","490.216","332.557846613187","0.556","0.264"
"20","1.0","0.0","0.312","0.4633098315382483","19.0","1000.0","487.604","313.72761304035714","0.54","0.312"
"21","1.0","0.0","0.336","0.47233886141201636","16.0","1000.0","482.468","327.72218871477105","0.504","0.336"
"22","1.0","0.0","0.34","0.4737087712930804","25.0","1000.0","465.144","309.9426451200287","0.52","0.34"
"23","1.0","0.0","0.284","0.45093680266751346","17.0","1000.0","461.872","320.6800268429575","0.56","0.284"
"24","1.0","0.0","0.296","0.45649096376598736","25.0","1000.0","505.396","302.96503954086825","0.572","0.296"
"25","1.0","0.0","0.336","0.47233886141201636","17.0","1000.0","506.768","331.077238988125","0.492","0.336"
"26","1.0","0.0","0.396","0.48906441293555597","30.0","1000.0","488.228","312.208737891815","0.46","0.396"
"27","1.0","0.0","0.312","0.4633098315382483","16.0","1000.0","499.34","323.2579904658199","0.52","0.312"
"28","1.0","0.0","0.304","0.4599826083668816","27.0","1000.0","473.164","316.67128872697003","0.556","0.304"
"29","1.0","0.0","0.304","0.4599826083668816","13.0","1000.0","497.072","330.9261591594112","0.508","0.304"
"30","1.0","0.0","0.352","0.4775939698111776","31.0","1000.0","502.872","307.3466440617173","0.484","0.352"
"31","1.0","0.0","0.336","0.47233886141201636","37.0","1000.0","515.788","317.6475642217331","0.524","0.336"
"32","1.0","0.0","0.38","0.48538644398046393","21.0","1000.0","447.308","309.86005411475685","0.476","0.38"
"33","1.0","0.0","0.304","0.4599826083668816","17.0","1000.0","491.872","311.029361340694","0.552","0.304"
"34","1.0","0.0","0.32","0.466476151587624","27.0","1000.0","474.136","325.57134625762126","0.512","0.32"
