"Animat","Nearest stone","Distance to water","Distance from start","Distance to end","Has stone"
"0","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"1","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"2","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"3","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"4","6.082762530298219","17.0","0.0","18.0","0.0"
"5","6.082762530298219","17.0","0.0","18.0","0.0"
"6","6.082762530298219","17.0","0.0","18.0","0.0"
"7","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"8","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"9","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"10","6.082762530298219","17.0","0.0","18.0","0.0"
"11","6.082762530298219","17.0","0.0","18.0","0.0"
"12","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"13","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"14","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"15","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"16","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"17","6.082762530298219","17.0","0.0","18.0","0.0"
"18","6.082762530298219","17.0","0.0","18.0","0.0"
"19","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"20","6.082762530298219","17.0","0.0","18.0","0.0"
"21","6.082762530298219","17.0","0.0","18.0","0.0"
"22","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"23","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"24","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"25","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"26","6.082762530298219","17.0","0.0","18.0","0.0"
"27","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"28","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"29","7.0","18.0","1.4142135623730951","19.026297590440446","0.0"
"30","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"31","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"32","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"33","6.082762530298219","17.0","0.0","18.0","0.0"
"34","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"35","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
"36","7.280109889280518","18.0","1.4142135623730951","19.026297590440446","0.0"
