"Generation","Best Fitness","Worst Fitness","Mean Fitness","Standard Deviation","Best Lifespan","Worst Lifespan","Mean Lifespan","Standard Deviation Lifespan","Died","Reached end"
"3498","1.0","0.0","0.252","0.43416126036301306","25.0","1000.0","446.568","308.0777651438026","0.62","0.252"
"3499","1.0","0.0","0.24","0.4270831300812525","27.0","1000.0","479.312","317.3390090360781","0.596","0.24"
"3500","1.0","0.0","0.348","0.47633601585435464","26.0","1000.0","477.564","309.06920568701105","0.524","0.348"
"3501","1.0","0.0","0.24","0.4270831300812525","20.0","1000.0","500.36","314.52281061951606","0.604","0.24"
"3502","1.0","0.0","0.384","0.48635789291426124","21.0","1000.0","457.372","306.371959578549","0.504","0.384"
"3503","1.0","0.0","0.356","0.47881520443695186","20.0","1000.0","500.46","323.52351444678624","0.484","0.356"
"3504","1.0","0.0","0.32","0.466476151587624","19.0","1000.0","475.716","300.1140772173141","0.568","0.32"
"3505","1.0","0.0","0.376","0.4843800161030593","13.0","1000.0","491.184","296.06608408259126","0.508","0.376"
"3506","1.0","0.0","0.284","0.45093680266751346","45.0","1000.0","548.388","320.82091804618966","0.488","0.284"
"3507","1.0","0.0","0.324","0.46799999999999997","20.0","1000.0","494.268","321.03787342928865","0.528","0.324"
"3508","1.0","0.0","0.268","0.4429175995600084","17.0","1000.0","459.468","321.6786486169079","0.584","0.268"
"3509","1.0","0.0","0.34","0.4737087712930804","19.0","1000.0","474.296","315.13903024538234","0.536","0.34"
"3510","1.0","0.0","0.292","0.4546823066713725","26.0","1000.0","467.204","316.4501641396318","0.584","0.292"
"3511","1.0","0.0","0.296","0.45649096376598736","36.0","1000.0","505.724","317.280405672963","0.552","0.296"
"3512","1.0","0.0","0.32","0.466476151587624","28.0","1000.0","467.54","297.3877879133574","0.552","0.32"
"3513","1.0","0.0","0.292","0.4546823066713725","35.0","1000.0","498.408","327.70435690725884","0.532","0.292"
"3514","1.0","0.0","0.368","0.48226133993924913","28.0","1000.0","499.392","327.03631348215725","0.44","0.368"
"3515","1.0","0.0","0.328","0.4694848240358787","22.0","1000.0","469.676","319.0460578411837","0.532","0.328"
"3516","1.0","0.0","0.32","0.466476151587624","19.0","1000.0","463.248","315.3367509441298","0.532","0.32"
"3517","1.0","0.0","0.272","0.4449898875255482","23.0","1000.0","473.14","325.4272889602224","0.564","0.272"
"3518","1.0","0.0","0.288","0.452831094338717","24.0","1000.0","485.988","322.8880237110073","0.548","0.288"
"3519","1.0","0.0","0.3","0.45825756949558394","30.0","1000.0","507.304","312.95393204751406","0.548","0.3"
"3520","1.0","0.0","0.268","0.4429175995600084","21.0","1000.0","523.26","326.8660894005374","0.528","0.268"
"3521","1.0","0.0","0.296","0.45649096376598736","31.0","1000.0","475.488","306.08241023619763","0.584","0.296"
"3522","1.0","0.0","0.328","0.4694848240358787","15.0","1000.0","481.952","315.2515530429628","0.528","0.328"
"3523","1.0","0.0","0.372","0.483338390778138","27.0","1000.0","446.36","308.0915032908244","0.504","0.372"
"3524","1.0","0.0","0.328","0.4694848240358787","23.0","1000.0","471.904","313.7678995435959","0.54","0.328"
"3525","1.0","0.0","0.324","0.46799999999999997","26.0","1000.0","475.94","320.0065005589731","0.512","0.324"
"3526","1.0","0.0","0.356","0.47881520443695186","21.0","1000.0","472.544","330.96334549916565","0.5","0.356"
"3527","1.0","0.0","0.348","0.47633601585435464","46.0","1000.0","476.292","315.11847730020503","0.52","0.348"
"3528","1.0","0.0","0.296","0.45649096376598736","17.0","1000.0","489.712","326.2059672292952","0.544","0.296"
"3529","1.0","0.0","0.284","0.45093680266751346","35.0","1000.0","468.616","320.3284010886327","0.58","0.284"
"3530","1.0","0.0","0.324","0.46799999999999997","28.0","1000.0","486.764","311.43446871533007","0.54","0.324"
"3531","1.0","0.0","0.36","0.48","13.0","1000.0","488.244","312.92693150957786","0.492","0.36"
"3532","1.0","0.0","0.348","0.47633601585435464","21.0","1000.0","472.5","314.62246900054674","0.528","0.348"
"3533","1.0","0.0","0.324","0.46799999999999997","24.0","1000.0","458.824","306.65113895761107","0.536","0.324"
"3534","1.0","0.0","0.312","0.4633098315382483","33.0","1000.0","502.1","319.5398347624285","0.52","0.312"
"3535","1.0","0.0","0.316","0.46491289506745237","19.0","1000.0","480.032","317.87282830717055","0.544","0.316"
"3536","1.0","0.0","0.352","0.4775939698111776","22.0","1000.0","489.148","309.53907361753204","0.496","0.352"
"3537","1.0","0.0","0.348","0.47633601585435464","37.0","1000.0","500.992","326.3987008797676","0.508","0.348"
"3538","1.0","0.0","0.364","0.481148625686492","24.0","1000.0","499.068","301.5457898495684","0.496","0.364"
"3539","1.0","0.0","0.292","0.4546823066713725","26.0","1000.0","472.208","309.43969482921875","0.568","0.292"
"3540","1.0","0.0","0.324","0.46799999999999997","25.0","1000.0","477.988","309.30469743603953","0.56","0.324"
"3541","1.0","0.0","0.292","0.4546823066713725","22.0","1000.0","480.972","305.9130778767068","0.556","0.292"
"3542","1.0","0.0","0.296","0.45649096376598736","22.0","1000.0","462.904","318.3478455777578","0.576","0.296"
"3543","1.0","0.0","0.336","0.47233886141201636","15.0","1000.0","493.884","309.58212891573686","0.528","0.336"
"3544","1.0","0.0","0.344","0.4750410508577127","17.0","1000.0","462.592","326.0660202106315","0.496","0.344"
"3545","1.0","0.0","0.284","0.45093680266751346","41.0","1000.0","492.728","309.4390634939291","0.548","0.284"
"3546","1.0","0.0","0.36","0.48","23.0","1000.0","486.108","319.9194403846067","0.492","0.36"
"3547","1.0","0.0","0.34","0.4737087712930804","29.0","1000.0","539.896","324.77812300707694","0.468","0.34"
"3548","1.0","0.0","0.332","0.47093099282166595","19.0","1000.0","524.152","321.8954254039657","0.5","0.332"
"3549","1.0","0.0","0.276","0.4470167782086037","18.0","1000.0","498.58","325.21273591297097","0.56","0.276"
"3550","1.0","0.0","0.308","0.46166654632970755","18.0","1000.0","500.172","321.85908471876354","0.52","0.308"
"3551","1.0","0.0","0.296","0.45649096376598736","22.0","1000.0","453.368","331.15706330380453","0.532","0.296"
"3552","1.0","0.0","0.32","0.466476151587624","16.0","1000.0","510.452","329.5320920578147","0.516","0.32"
"3553","1.0","0.0","0.328","0.4694848240358787","24.0","1000.0","527.9","319.28590635980174","0.484","0.328"
"3554","1.0","0.0","0.332","0.47093099282166595","29.0","1000.0","475.752","314.7957980913979","0.528","0.332"
"3555","1.0","0.0","0.3","0.45825756949558394","24.0","1000.0","496.496","314.192109996416","0.552","0.3"
"3556","1.0","0.0","0.28","0.44899888641287294","36.0","1000.0","517.184","331.8549293652275","0.528","0.28"
"3557","1.0","0.0","0.364","0.481148625686492","23.0","1000.0","467.424","306.9058947364811","0.492","0.364"
"3558","1.0","0.0","0.32","0.466476151587624","23.0","1000.0","449.844","306.2100907285715","0.572","0.32"
"3559","1.0","0.0","0.352","0.4775939698111776","23.0","1000.0","481.236","314.4359335444981","0.512","0.352"
"3560","1.0","0.0","0.284","0.45093680266751346","22.0","1000.0","497.304","317.8759437013125","0.572","0.284"
"3561","1.0","0.0","0.368","0.48226133993924913","28.0","1000.0","469.124","304.7304589698903","0.516","0.368"
"3562","1.0","0.0","0.24","0.4270831300812525","29.0","1000.0","503.016","326.4908448088551","0.584","0.24"
"3563","1.0","0.0","0.296","0.45649096376598736","19.0","1000.0","525.9","322.49810231999805","0.512","0.296"
"3564","1.0","0.0","0.344","0.4750410508577127","32.0","1000.0","498.072","310.14989088503637","0.516","0.344"
"3565","1.0","0.0","0.288","0.452831094338717","36.0","1000.0","482.576","312.62380623362634","0.564","0.288"
"3566","1.0","0.0","0.36","0.48","41.0","1000.0","505.244","311.8313269445519","0.484","0.36"
"3567","1.0","0.0","0.32","0.466476151587624","33.0","1000.0","449.032","306.71572339219927","0.556","0.32"
"3568","1.0","0.0","0.308","0.46166654632970755","11.0","1000.0","489.72","325.04760512884855","0.528","0.308"
"3569","1.0","0.0","0.236","0.42462218500685994","11.0","1000.0","485.464","326.36191062070935","0.616","0.236"
"3570","1.0","0.0","0.316","0.46491289506745237","26.0","1000.0","502.176","334.0886125326635","0.5","0.316"
"3571","1.0","0.0","0.324","0.46799999999999997","54.0","1000.0","471.484","320.8903889866445","0.532","0.324"
"3572","1.0","0.0","0.316","0.46491289506745237","39.0","1000.0","508.432","322.3611102102732","0.524","0.316"
"3573","1.0","0.0","0.292","0.4546823066713725","23.0","1000.0","496.84","313.13066665531176","0.556","0.292"
"3574","1.0","0.0","0.312","0.4633098315382483","32.0","1000.0","509.2","329.4811557585653","0.52","0.312"
"3575","1.0","0.0","0.296","0.45649096376598736","13.0","1000.0","498.828","313.18235968202305","0.56","0.296"
"3576","1.0","0.0","0.336","0.47233886141201636","33.0","1000.0","516.876","315.588828420779","0.48","0.336"
"3577","1.0","0.0","0.3","0.45825756949558394","22.0","1000.0","487.236","322.97762817879493","0.532","0.3"
"3578","1.0","0.0","0.32","0.466476151587624","31.0","1000.0","492.6","325.4334463450247","0.512","0.32"
"3579","1.0","0.0","0.304","0.4599826083668816","24.0","1000.0","476.792","311.1556856880491","0.56","0.304"
"3580","1.0","0.0","0.304","0.4599826083668816","13.0","1000.0","522.456","332.11632911376097","0.48","0.304"
"3581","1.0","0.0","0.312","0.4633098315382483","20.0","1000.0","561.704","329.5486859084711","0.496","0.312"
"3582","1.0","0.0","0.336","0.47233886141201636","28.0","1000.0","508.204","316.6657076224075","0.488","0.336"
"3583","1.0","0.0","0.368","0.48226133993924913","31.0","1000.0","491.84","316.6513135927278","0.484","0.368"
"3584","1.0","0.0","0.3","0.45825756949558394","18.0","1000.0","484.136","319.20207628397424","0.544","0.3"
"3585","1.0","0.0","0.344","0.4750410508577127","24.0","1000.0","465.26","316.64973772292944","0.52","0.344"
"3586","1.0","0.0","0.344","0.4750410508577127","37.0","1000.0","487.704","315.8637687104995","0.484","0.344"
"3587","1.0","0.0","0.36","0.48","24.0","1000.0","495.924","312.7336218317435","0.496","0.36"
"3588","1.0","0.0","0.328","0.4694848240358787","24.0","1000.0","452.24","311.1585936463911","0.524","0.328"
"3589","1.0","0.0","0.372","0.483338390778138","16.0","1000.0","493.792","319.4684283869066","0.48","0.372"
"3590","1.0","0.0","0.316","0.46491289506745237","21.0","1000.0","488.004","322.0069502107058","0.524","0.316"
"3591","1.0","0.0","0.344","0.4750410508577127","16.0","1000.0","500.932","313.1184941455871","0.52","0.344"
"3592","1.0","0.0","0.296","0.45649096376598736","24.0","1000.0","483.724","328.3686705884105","0.544","0.296"
"3593","1.0","0.0","0.3","0.45825756949558394","17.0","1000.0","491.032","327.12485533202755","0.532","0.3"
"3594","1.0","0.0","0.324","0.46799999999999997","23.0","1000.0","460.976","309.21395735639095","0.564","0.324"
"3595","1.0","0.0","0.288","0.452831094338717","40.0","1000.0","474.544","322.31549770993036","0.572","0.288"
"3596","1.0","0.0","0.308","0.46166654632970755","21.0","1000.0","459.42","309.6995763639338","0.564","0.308"
"3597","1.0","0.0","0.308","0.46166654632970755","25.0","1000.0","430.464","298.75027816556076","0.588","0.308"
"3598","1.0","0.0","0.312","0.4633098315382483","22.0","1000.0","493.728","316.50882770627425","0.524","0.312"
"3599","1.0","0.0","0.284","0.45093680266751346","21.0","1000.0","475.104","329.0233869863966","0.552","0.284"
