"Generation","Best Fitness","Worst Fitness","Mean Fitness","Standard Deviation","Best Lifespan","Worst Lifespan","Mean Lifespan","Standard Deviation Lifespan","Died","Reached end"
"5332","1.0","1.0","1.0","0.0","65.0","66.0","65.008","0.08908422980527987","0.0","1.0"
"5333","0.0","0.0","0.0","0.0","76.0","76.0","76.0","0.0","1.0","0.0"
"5334","0.0","0.0","0.0","0.0","30.0","30.0","30.0","0.0","1.0","0.0"
"5335","1.0","0.0","0.984","0.125475097130865","32.0","324.0","36.3","22.248999977527067","0.016","0.984"
"5336","1.0","0.0","0.164","0.3702755730533679","6.0","1000.0","167.112","188.7826990378091","0.832","0.164"
"5337","1.0","0.0","0.22","0.41424630354415964","5.0","1000.0","179.868","173.1698431482803","0.776","0.22"
"5338","1.0","0.0","0.192","0.3938730760029175","7.0","1000.0","211.108","196.11307028344646","0.8","0.192"
"5339","1.0","0.0","0.208","0.4058768286069063","6.0","1000.0","217.924","199.8848824298626","0.78","0.208"
"5340","1.0","0.0","0.228","0.41954260808647315","7.0","1000.0","233.696","200.2292176082203","0.764","0.228"
"5341","1.0","0.0","0.24","0.4270831300812525","7.0","1000.0","212.244","190.55008912094473","0.752","0.24"
"5342","1.0","0.0","0.216","0.41151427678757396","5.0","1000.0","221.164","218.97362650328458","0.78","0.216"
"5343","1.0","0.0","0.264","0.44079927404658914","6.0","1000.0","215.304","206.56238666320635","0.732","0.264"
"5344","1.0","0.0","0.208","0.4058768286069063","5.0","917.0","208.148","193.88412543578707","0.792","0.208"
"5345","1.0","0.0","0.224","0.41692205506545227","5.0","921.0","198.692","191.232416540711","0.776","0.224"
"5346","1.0","0.0","0.208","0.4058768286069063","7.0","1000.0","219.38","203.0891124605158","0.788","0.208"
"5347","1.0","0.0","0.196","0.39696851260521915","6.0","1000.0","220.444","218.13298435587413","0.796","0.196"
"5348","1.0","0.0","0.212","0.408724846320847","5.0","1000.0","219.068","207.5633093203131","0.78","0.212"
"5349","1.0","0.0","0.248","0.43185182644050496","6.0","1000.0","218.776","215.64687297524162","0.736","0.248"
"5350","1.0","0.0","0.212","0.408724846320847","5.0","1000.0","220.032","213.2628776322781","0.772","0.212"
"5351","1.0","0.0","0.244","0.42949272403615874","6.0","1000.0","212.036","188.52192101715914","0.752","0.244"
"5352","1.0","0.0","0.256","0.4364218143035474","6.0","1000.0","220.968","208.0872869158518","0.732","0.256"
"5353","1.0","0.0","0.22","0.41424630354415964","6.0","1000.0","227.92","212.0042490140232","0.776","0.22"
"5354","1.0","0.0","0.248","0.43185182644050496","7.0","1000.0","239.452","221.4447283093458","0.736","0.248"
"5355","1.0","0.0","0.18","0.38418745424597095","7.0","1000.0","223.176","200.07628801034872","0.808","0.18"
"5356","1.0","0.0","0.236","0.42462218500685994","5.0","1000.0","230.676","222.20945754850314","0.74","0.236"
"5357","1.0","0.0","0.248","0.43185182644050496","5.0","1000.0","235.564","213.5072596049137","0.744","0.248"
"5358","1.0","0.0","0.256","0.4364218143035474","5.0","1000.0","231.3","214.61267902898925","0.72","0.256"
"5359","1.0","0.0","0.212","0.408724846320847","5.0","1000.0","219.896","214.54007826977227","0.772","0.212"
"5360","1.0","0.0","0.26","0.4386342439892262","6.0","955.0","222.492","189.9152493508617","0.74","0.26"
"5361","1.0","0.0","0.272","0.4449898875255482","6.0","1000.0","222.732","201.93611904758401","0.712","0.272"
"5362","1.0","0.0","0.252","0.43416126036301306","6.0","1000.0","231.264","208.79372189795353","0.736","0.252"
"5363","1.0","0.0","0.224","0.41692205506545227","6.0","1000.0","209.82","193.816726832335","0.768","0.224"
"5364","1.0","0.0","0.18","0.38418745424597095","6.0","1000.0","233.992","227.36085840795022","0.812","0.18"
"5365","1.0","0.0","0.236","0.42462218500685994","6.0","1000.0","230.488","215.52301467824725","0.76","0.236"
"5366","1.0","0.0","0.312","0.4633098315382483","7.0","997.0","199.624","183.99826799184828","0.688","0.312"
"5367","1.0","0.0","0.208","0.4058768286069063","6.0","1000.0","214.604","203.83218387683533","0.784","0.208"
"5368","1.0","0.0","0.272","0.4449898875255482","6.0","1000.0","217.96","197.6351750068797","0.72","0.272"
"5369","1.0","0.0","0.26","0.4386342439892262","5.0","1000.0","234.148","220.48117855272818","0.72","0.26"
"5370","1.0","0.0","0.248","0.43185182644050496","5.0","1000.0","210.316","198.81838985365516","0.748","0.248"
"5371","1.0","0.0","0.284","0.45093680266751346","6.0","1000.0","237.268","228.61558165619425","0.696","0.284"
"5372","1.0","0.0","0.224","0.41692205506545227","5.0","1000.0","214.828","196.1285048533232","0.768","0.224"
"5373","1.0","0.0","0.196","0.39696851260521915","5.0","1000.0","224.532","213.46211133594645","0.8","0.196"
"5374","1.0","0.0","0.208","0.4058768286069063","5.0","1000.0","198.468","204.44408765234564","0.776","0.208"
"5375","1.0","0.0","0.24","0.4270831300812525","7.0","1000.0","208.864","204.38224361230598","0.748","0.24"
"5376","1.0","0.0","0.232","0.42210899066473345","6.0","1000.0","229.56","222.42938295108405","0.756","0.232"
"5377","1.0","0.0","0.236","0.42462218500685994","5.0","1000.0","219.52","205.9558632328781","0.756","0.236"
"5378","1.0","0.0","0.212","0.408724846320847","5.0","1000.0","213.132","199.63583489944884","0.784","0.212"
"5379","1.0","0.0","0.212","0.408724846320847","6.0","1000.0","204.476","183.7041355658603","0.784","0.212"
"5380","1.0","0.0","0.22","0.41424630354415964","5.0","1000.0","213.112","224.92212753751014","0.756","0.22"
"5381","1.0","0.0","0.204","0.4029689814365369","5.0","1000.0","214.164","200.39515239645897","0.788","0.204"
"5382","1.0","0.0","0.184","0.3874841932259947","5.0","1000.0","208.784","191.47829470725915","0.808","0.184"
"5383","1.0","0.0","0.204","0.4029689814365369","5.0","1000.0","205.58","210.78139291692716","0.784","0.204"
"5384","1.0","0.0","0.228","0.41954260808647315","7.0","1000.0","210.576","197.0076044826697","0.764","0.228"
"5385","1.0","0.0","0.232","0.42210899066473345","6.0","1000.0","231.824","206.77419815828088","0.756","0.232"
